TeamID,curr_CurrentTeam_Ast,curr_CurrentTeam_TO,curr_CurrentTeam_Stl,curr_CurrentTeam_Blk,curr_CurrentTeam_PF,curr_CurrentTeam_Loc,curr_CurrentTeam_FG_Pct,curr_CurrentTeam_3P_Pct,curr_CurrentTeam_FT_Pct,curr_CurrentTeam_Reb,opp_OpponentTeam_Ast,opp_OpponentTeam_TO,opp_OpponentTeam_Stl,opp_OpponentTeam_Blk,opp_OpponentTeam_PF,opp_OpponentTeam_FG_Pct,opp_OpponentTeam_3P_Pct,opp_OpponentTeam_FT_Pct,opp_OpponentTeam_Reb
1101,10.689275,9.155362,7.3107247,1.3107249,15.155362,0.0,0.30185327,0.19307013,0.7751471,27.98029,14.223188,14.111594,5.0,5.645507,15.888406,0.46987,0.34779197,0.6631045,36.82058
1102,15.0,12.3447075,7.0,1.2689414,13.537883,0.0,0.49167553,0.43805242,0.77547914,16.61365,15.6552925,11.537883,7.0757656,1.0,16.462116,0.53565,0.3485907,0.8507395,29.88259
1103,6.925127,5.6659584,5.2578974,1.2858931,18.639812,0.0,0.38334236,0.21972094,0.7220023,28.1574,11.822195,12.1025915,2.4498518,4.5250773,11.748453,0.5078649,0.52754325,0.77569467,33.862755
1104,13.950181,10.734108,5.4560685,5.49923,18.953503,0.0,0.45327845,0.3866542,0.7040763,37.480232,12.843988,9.061319,7.180793,4.7679543,18.703623,0.41291037,0.3106655,0.7100102,33.70071
1105,16.0,14.0,6.0,3.0,17.0,0.0,0.3898305,0.35714287,0.7222222,29.0,14.0,17.0,2.0,2.0,14.0,0.50877196,0.46666667,0.7,43.0
1106,10.502213,12.457525,6.284732,3.7461991,20.904272,0.0,0.34380323,0.23521629,0.728368,35.669617,13.844864,15.126659,4.742257,0.6126619,14.107996,0.40985134,0.2564624,0.6902201,42.76092
1107,12.994481,10.20444,4.972369,1.3943344,15.50591,0.0,0.4251623,0.33356827,0.72790474,32.990696,11.98782,8.375216,5.5539436,4.1718087,15.007152,0.46074283,0.30227083,0.7327247,31.991207
1110,8.624158,16.857325,5.217564,0.20448089,17.020037,0.0,0.31016788,0.27482703,0.5956014,24.659798,13.145042,7.9605985,9.059438,1.5956231,14.826422,0.49806082,0.42219126,0.9166209,31.331705
1111,7.0,12.0,5.0,10.0,8.0,0.0,0.2580645,0.16666667,0.9375,42.0,10.0,9.0,10.0,4.0,14.0,0.3448276,0.3888889,0.7777778,29.0
1112,15.520631,12.161318,7.865829,5.103772,17.192621,0.0,0.44051307,0.31734484,0.70046204,37.91836,11.989749,11.386939,6.7872705,3.3635683,16.894156,0.40758237,0.27459034,0.70738274,33.208717
1113,15.227236,9.030772,4.367882,5.1029787,19.107056,0.0,0.53932714,0.46677017,0.6931299,28.911732,15.76118,8.968196,5.0392213,1.8998107,19.145512,0.41805026,0.41881013,0.7732749,30.406124
1114,9.394244,8.795683,6.9605756,0.5591366,18.236547,0.0,0.38190565,0.3260232,0.6950105,38.283165,16.039425,12.118274,4.078849,3.401439,16.835108,0.49298424,0.419099,0.61987925,41.24374
1115,10.0,13.0,5.0,5.5,17.5,0.0,0.35355917,0.29276314,0.8035714,31.5,8.5,10.5,4.0,4.5,17.0,0.4007737,0.2783883,0.61706346,37.5
1116,9.441273,9.837538,7.2778616,3.377013,18.602684,0.0,0.3879729,0.26236704,0.78857124,33.27458,12.609053,13.10292,5.811736,3.584546,18.930492,0.44713324,0.36258045,0.714859,32.86702
1120,13.067708,10.380228,4.408388,4.7838335,20.858221,0.0,0.43742445,0.33073032,0.6767518,34.522236,11.853204,8.350309,6.791948,4.315074,18.968256,0.43159524,0.3299417,0.73681337,31.102419
1122,6.07921,11.919046,7.9237385,0.02238236,22.92079,0.0,0.40770137,0.26630983,0.6754559,36.952286,22.88487,10.020908,7.8981385,8.93875,26.795073,0.5558691,0.37636718,0.77354735,41.0583
1124,13.362728,9.693382,7.054232,2.9232235,16.937365,0.0,0.47887686,0.3609988,0.6859169,30.18962,13.208294,12.367691,5.1862125,3.4630535,16.740425,0.4546186,0.32020795,0.7713276,27.567177
1125,14.169058,8.266172,4.0880322,3.6962204,14.703208,0.0,0.4679065,0.35208985,0.7345243,33.991276,12.448463,8.233248,4.896004,2.5901127,19.24536,0.42412385,0.30794412,0.6149646,39.624268
1127,9.0,18.0,9.0,4.0,21.0,0.0,0.5294118,0.46666667,0.2,20.0,21.0,15.0,6.0,3.0,14.0,0.49122807,0.45,0.84,38.0
1129,7.9632764,8.81887,4.820976,0.69503313,16.442085,0.0,0.35595003,0.19068192,0.7454349,35.468414,11.099909,10.016546,5.602803,1.8859689,14.85116,0.46042848,0.33017078,0.8731498,30.561842
1130,15.104482,13.211689,5.5198636,4.472154,17.158989,0.0,0.42105514,0.34071591,0.7835574,33.508923,15.684178,11.537912,6.6273837,3.93188,17.476944,0.45281985,0.36986026,0.77056676,33.06202
1131,10.0,12.0,6.0,3.0,16.0,0.0,0.3529412,0.36,0.6666667,25.0,19.0,14.0,5.0,1.0,13.0,0.50877196,0.45,0.625,40.0
1133,12.001496,10.016463,3.0134702,2.9955099,21.97755,0.0,0.42289627,0.42839772,0.666878,26.047894,9.00898,9.02694,3.0224504,4.9925165,18.01796,0.4260711,0.263606,0.96068233,36.010475
1136,7.0,13.0,11.0,5.0,24.0,0.0,0.43661973,0.16666667,0.6956522,32.0,19.0,15.0,6.0,4.0,20.0,0.47540984,0.42857143,0.8125,41.0
1137,12.869585,10.480839,4.63209,2.1972303,23.31876,0.0,0.42786568,0.49876538,0.7424626,29.756615,18.22475,10.748987,5.1766653,5.490562,20.285774,0.49699432,0.34623823,0.71050763,40.86048
